DATE	POPTHM
1/1/2019	327.824
2/1/2019	327.921
3/1/2019	328.025
4/1/2019	328.140
5/1/2019	328.267
6/1/2019	328.404
7/1/2019	328.561
8/1/2019	328.730
9/1/2019	328.897
10/1/2019	329.054
11/1/2019	329.191
12/1/2019	329.314
1/1/2020	330.222
