Saptari	639284.00	570282.00	465668.00	379055.00	1363.00	Rajbiraj	T	Sagarmatha
Sarlahi	769729.00	635701.00	492798.00	398766.00	1259.00	Malangwa	T	Janakpur
Sindhuli	296192.00	279821.00	223900.00	183705.00	2491.00	Sindhulimadhi	H	Janakpur
Sindhupalchok	287798.00	305857.00	261025.00	232326.00	2542.00	Chautara	M	Bagmati
Siraha	637328.00	572399.00	460746.00	375358.00	1188.00	Siraha	T	Sagarmatha
Solukhumbu	105886.00	107686.00	97200.00	88245.00	3312.00	Salleri	M	Sagarmatha
Sunsari	763487.00	625633.00	463481.00	344594.00	1257.00	Phidim	T	Kosi
Surkhet	350804.00	288527.00	225768.00	166196.00	2451.00	Birendranagar	H	Bheri
Syangja	289148.00	317320.00	293526.00	271824.00	1164.00	Syangja	H	Gandaki
Tanahu	323288.00	315237.00	268073.00	223438.00	1546.00	Damauli	H	Gandaki
Taplejung	127461.00	134698.00	120053.00	120780.00	3646.00	Taplejung	M	Mechi
Terhathum	101577.00	113111.00	102870.00	92454.00	679.00	Terhathum	H	Kosi
Udayapur	317532.00	287689.00	221256.00	159805.00	2063.00	Gaighat	H	Sagarmatha
