Date of Booking	No of Occurance	Amount
8/17/2018	119	82704.6
8/18/2018	123	83034.46
8/19/2018	119	93908.19
8/20/2018	137	95125.35
8/21/2018	110	71919.48
8/22/2018	92	30426
8/23/2018	56	51574.75
8/24/2018	191	155349.16
8/25/2018	126	107019.96
8/26/2018	118	87200.85
8/27/2018	106	69288.55
8/28/2018	181	195126.93
8/29/2018	110	139767.96
8/30/2018	112	146231.75
8/31/2018	145	124982.94
9/1/2018	112	129643.49
9/2/2018	81	96089.09
9/3/2018	115	123513.01
9/4/2018	96	104910.63
9/5/2018	68	79861.78
9/6/2018	113	113476.94
9/7/2018	116	118253.63
9/8/2018	124	121109.43
9/9/2018	148	188993.04
9/10/2018	112	135345.89
9/11/2018	87	99631.69
9/12/2018	79	72858.59
9/13/2018	80	82247.91
9/14/2018	135	112098.43
9/15/2018	126	127961.89
9/16/2018	113	169291
9/17/2018	131	152569.4
9/18/2018	97	131766.03
9/19/2018	101	109130.43
9/20/2018	93	85371.22
9/21/2018	156	96404.98
9/22/2018	185	118154.75
9/23/2018	116	118261.81
9/24/2018	132	172678.38
9/25/2018	118	180316.96
9/26/2018	104	115158.77
9/27/2018	108	144867.88
9/28/2018	107	149564.23
9/29/2018	141	160515.65
9/30/2018	104	121919.99
10/1/2018	103	136922.68
10/2/2018	82	109633.96
10/3/2018	81	123929.33
10/4/2018	87	100562.01
10/5/2018	112	163466.73
10/6/2018	86	112006.28
10/7/2018	65	74347.85
10/8/2018	76	98798.16
10/9/2018	80	111043.62
10/10/2018	82	90179.49
10/11/2018	65	81362.55
10/12/2018	97	118369.78
10/13/2018	75	96113.09
10/14/2018	79	133829.25
10/15/2018	97	111689.06
10/16/2018	114	110567.73
10/17/2018	78	78688.07
10/18/2018	73	66384.69
10/19/2018	98	110855.52
10/20/2018	116	136951.13
10/21/2018	109	121999.24
10/22/2018	74	75752.11
10/23/2018	98	119119.59
10/24/2018	46	73602.4
10/25/2018	52	68225.34
10/26/2018	92	92796.16
10/27/2018	47	63050.82
10/28/2018	88	134593.26
10/29/2018	82	115375.61
10/30/2018	84	104091.91
10/31/2018	189	255836.84
11/1/2018	115	110667.64
11/2/2018	83	93777.76
11/3/2018	93	91144.56
11/4/2018	71	46951.26
11/5/2018	79	75469.79
11/6/2018	93	100256.04
11/7/2018	105	121231.88
11/8/2018	70	63861.31
11/9/2018	66	61815.27
11/10/2018	60	58037.55
11/11/2018	72	66695.29
11/12/2018	120	107039.15
11/13/2018	86	90720.87
11/14/2018	90	63178.87
11/15/2018	94	83750.73
11/16/2018	77	94694.69
11/17/2018	92	117822.88
11/18/2018	108	99823.7
11/19/2018	78	79692.23
11/20/2018	62	68861.68
11/21/2018	70	60253.38
11/22/2018	75	103910.25
11/23/2018	82	100271.84
11/24/2018	99	90874.29
11/25/2018	70	6419
11/26/2018	88	98236.6
11/27/2018	64	58171.71
11/28/2018	91	98202.75
11/29/2018	83	77605.73
11/30/2018	94	118492.52
12/1/2018	104	111057.1
12/2/2018	111	109883.43
12/3/2018	77	80982.62
12/4/2018	125	140181.69
12/5/2018	90	85361.35
12/6/2018	70	74512.81
12/7/2018	103	103268.89
12/8/2018	115	115100.72
12/9/2018	123	127485.64
12/10/2018	80	66066.6
12/11/2018	77	90020.63
